epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
128,1250.25,0.86181,0.47364,1.07844,0.9755,0.96225,0.96649,0.78245,0.81413,0.33862,1.09812,0.001618,0.001618,0.001618
129,1259.86,0.85329,0.46138,1.06739,0.97571,0.96618,0.97203,0.78935,0.80775,0.35119,1.09335,0.001552,0.001552,0.001552
130,1269.2,0.82971,0.43146,1.06769,0.97968,0.95629,0.96838,0.78665,0.80859,0.35071,1.09575,0.001486,0.001486,0.001486
131,1278.58,0.83919,0.4537,1.07629,0.97251,0.96715,0.97346,0.79026,0.81343,0.34969,1.09645,0.00142,0.00142,0.00142
132,1288.06,0.84917,0.49005,1.08566,0.96746,0.96149,0.96867,0.7862,0.83641,0.35599,1.12244,0.001354,0.001354,0.001354
133,1297.49,0.83477,0.43024,1.07877,0.9784,0.96005,0.96992,0.79149,0.80532,0.34732,1.09247,0.001288,0.001288,0.001288
134,1307.07,0.83377,0.44705,1.0723,0.97927,0.96365,0.96872,0.79106,0.80516,0.35182,1.08871,0.001222,0.001222,0.001222
135,1316.16,0.82363,0.45058,1.05528,0.97831,0.96143,0.97229,0.79472,0.8264,0.34132,1.11047,0.001156,0.001156,0.001156
136,1325.64,0.83291,0.44677,1.07029,0.9714,0.96326,0.97535,0.79745,0.81718,0.35453,1.1022,0.00109,0.00109,0.00109
137,1335.28,0.84648,0.45977,1.08651,0.98301,0.96666,0.97403,0.7955,0.82343,0.34109,1.10113,0.001024,0.001024,0.001024
138,1345.38,0.84255,0.43942,1.07802,0.98186,0.96166,0.97106,0.79889,0.808,0.34203,1.09636,0.000958,0.000958,0.000958
139,1354.96,0.82422,0.43866,1.0522,0.98154,0.96161,0.97157,0.80039,0.80889,0.33751,1.09542,0.000892,0.000892,0.000892
140,1364.32,0.8278,0.436,1.06852,0.98451,0.96525,0.97457,0.79955,0.79919,0.33439,1.08233,0.000826,0.000826,0.000826
141,1372.89,0.80901,0.43398,1.09827,0.97437,0.96175,0.96815,0.7915,0.80281,0.3424,1.0869,0.00076,0.00076,0.00076
142,1381.52,0.81507,0.44955,1.11237,0.97027,0.96131,0.96648,0.7864,0.81542,0.34708,1.09887,0.000694,0.000694,0.000694
143,1389.91,0.7997,0.44212,1.11641,0.98565,0.95929,0.97148,0.79428,0.80467,0.34847,1.0963,0.000628,0.000628,0.000628
144,1398.63,0.81154,0.43323,1.10566,0.97773,0.96257,0.9704,0.7929,0.80854,0.35356,1.09592,0.000562,0.000562,0.000562
145,1407.32,0.79603,0.42747,1.11458,0.98052,0.96667,0.97576,0.79526,0.81362,0.34343,1.09726,0.000496,0.000496,0.000496
146,1416.06,0.8064,0.43117,1.11814,0.9757,0.96791,0.97349,0.79661,0.81536,0.33907,1.10069,0.00043,0.00043,0.00043
147,1424.86,0.81048,0.43295,1.09408,0.97496,0.96544,0.9694,0.7919,0.8214,0.34797,1.10587,0.000364,0.000364,0.000364
148,1433.65,0.80324,0.41683,1.10068,0.97406,0.96421,0.96916,0.79279,0.81216,0.34949,1.09669,0.000298,0.000298,0.000298
149,1442.14,0.78815,0.41228,1.08735,0.97538,0.96298,0.97037,0.7912,0.80734,0.34374,1.09201,0.000232,0.000232,0.000232
150,1450.65,0.78665,0.40848,1.08239,0.97571,0.96187,0.96988,0.79006,0.80762,0.34178,1.09263,0.000166,0.000166,0.000166
